id,nombre,plataforma,marca,puntuacion usuarios,numero usuarios,popularidad
823,NBA Unrivaled,Xbox360,MICROSOFT,4.3,19,desconocido
1763,Dragon Ball Z: Ultimate Battle 22,PlayStation,SONY,5.2,58,desconocido
339,Call for Heroes: Pompolic Wars,PC,PC,3.2,20,desconocido
212,Jenga World Tour,Wii,NINTENDO,2.8,11,desconocido
536,Deca Sports Freedom,Xbox360,MICROSOFT,3.7,9,desconocido
97,Road Rage,PlayStation4,SONY,2.0,26,desconocido
495,Stake: Fortune Fighters,Xbox,MICROSOFT,3.7,6,desconocido
229,Tenkai Knights: Brave Battle,3DS,NINTENDO,2.9,27,desconocido
177,Charlie and the Chocolate Factory,PC,PC,2.6,19,desconocido
190,Aquaman: Battle for Atlantis,Xbox,MICROSOFT,2.7,16,desconocido
875,KISS Pinball,PlayStation,SONY,4.3,7,desconocido
176,Survivor (2001),PC,PC,2.6,15,desconocido
39,R.I.P.D. The Game,PC,PC,1.5,69,desconocido
904,Druuna: Morbus Gravis,PC,PC,4.4,7,desconocido
35,R.I.P.D. The Game,PC,PC,1.5,69,desconocido
685,HBO Boxing,PlayStation,SONY,4.0,5,desconocido
608,Mucha Lucha! Mascaritas of the Lost Code,GameBoyAdvance,NINTENDO,3.9,8,desconocido
233,World War II Combat: Iwo Jima,PC,PC,2.9,13,desconocido
1747,Chicken Shoot,Wii,NINTENDO,5.2,31,desconocido
223,Aquaman: Battle for Atlantis,GameCube,NINTENDO,2.8,24,desconocido
226,Rogue Warrior,PlayStation3,SONY,2.8,78,desconocido
354,Raven's Cry,PC,PC,3.3,128,poco conocido
447,GoDai: Elemental Force,PlayStation2,SONY,3.5,21,desconocido
222,Basement Crawl,PlayStation4,SONY,2.8,66,desconocido
147,Fray,PC,PC,2.4,29,desconocido
2886,Looney Tunes: Acme Arsenal,Wii,NINTENDO,5.8,18,desconocido
2398,Godzilla Unleashed: Double Smash,DS,NINTENDO,5.6,11,desconocido
128,Rambo: The Video Game,Xbox360,MICROSOFT,2.3,146,poco conocido
77,The Quiet Man,PlayStation4,SONY,1.9,143,poco conocido
407,Sneakers,Xbox,MICROSOFT,3.4,11,desconocido
272,Mortal Kombat: Special Forces,PlayStation,SONY,3.0,34,desconocido
597,Ping Pals,DS,NINTENDO,3.9,27,desconocido
34,Dragon Ball: Evolution,PSP,SONY,1.5,69,desconocido
7327,American McGee Presents Bad Day LA,PC,PC,7.1,91,desconocido
53,Thundercats,DS,NINTENDO,1.7,27,desconocido
258,Rogue Warrior,Xbox360,MICROSOFT,3.0,72,desconocido
144,Hoodwink,PC,PC,2.4,7,desconocido
13532,Tiny Racer,Switch,NINTENDO,8.1,7,desconocido
2852,Game Party 2,Wii,NINTENDO,5.8,9,desconocido
36,Wild West Online,PC,PC,1.5,49,desconocido
244,Batman: Dark Tomorrow,GameCube,NINTENDO,3.0,21,desconocido
357,Jumper: Griffin's Story,Xbox360,MICROSOFT,3.3,30,desconocido
149,ARK: Survival Evolved,Switch,NINTENDO,2.4,51,desconocido
526,Duke Nukem: Critical Mass,DS,NINTENDO,3.7,26,desconocido
402,Rogue Warrior,PC,PC,3.4,147,poco conocido
729,Power Rangers Megaforce,3DS,NINTENDO,4.1,7,desconocido
2577,ShellShock 2: Blood Trails,Xbox360,MICROSOFT,5.7,38,desconocido
382,Tunnel Rats: 1968,PC,PC,3.4,23,desconocido
3011,Soda Drinker Pro,XboxOne,MICROSOFT,5.9,27,desconocido
50,Air Conflicts: Vietnam Ultimate Edition,PlayStation4,SONY,1.7,28,desconocido
22,Ghostbusters,PlayStation4,SONY,1.4,264,conocido
1517,MTV's Celebrity Deathmatch,PC,PC,5.0,18,desconocido
808,Robocop,Xbox,MICROSOFT,4.2,18,desconocido
523,Transformers: Dark of the Moon - Stealth Force Edition,3DS,NINTENDO,3.7,17,desconocido
520,Vampire Rain: Altered Species,PlayStation3,SONY,3.7,38,desconocido
260,Fear Factor: Unleashed,GameBoyAdvance,NINTENDO,3.0,4,desconocido
1642,Crime Life: Gang Wars,Xbox,MICROSOFT,5.1,13,desconocido
878,Big Oil: Build an Oil Empire,PC,PC,4.3,7,desconocido
1012,Forever Worlds - Enter the Unknown,PC,PC,4.5,6,desconocido
351,ESPN Sports Connection,WiiU,NINTENDO,3.3,23,desconocido
383,The Asskickers,PC,PC,3.4,7,desconocido
455,DreamWorks Kung Fu Panda 2,PlayStation3,SONY,3.6,14,desconocido
1520,Toy Shop,DS,NINTENDO,5.0,12,desconocido
1014,Dino Dini's Kick Off Revival,PlayStation4,SONY,4.5,71,desconocido
635,CID The Dummy,Wii,NINTENDO,4.0,6,desconocido
642,Women's Volleyball Championship,PlayStation2,SONY,4.0,4,desconocido
645,Magus,PlayStation3,SONY,4.0,21,desconocido
578,Ghostbusters,XboxOne,MICROSOFT,3.8,108,poco conocido
894,The Expendables 2 Videogame,Xbox360,MICROSOFT,4.4,21,desconocido
179,Iron Man,PC,PC,2.6,66,desconocido
255,New World Order,PC,PC,3.0,6,desconocido
634,The Walking Dead: Survival Instinct,Xbox360,MICROSOFT,4.0,414,popular
1525,Best of Tests DS,DS,NINTENDO,5.0,4,desconocido
163,Bruce Lee: Quest of the Dragon,Xbox,MICROSOFT,2.5,11,desconocido
1073,Dave Mirra BMX Challenge,PSP,SONY,4.6,10,desconocido
193,Weeping Doll,PlayStation4,SONY,2.7,17,desconocido
437,Sonic Boom: Rise of Lyric,WiiU,NINTENDO,3.5,647,popular
1097,Fighters Uncaged,Xbox360,MICROSOFT,4.6,26,desconocido
330,Coliseum,PC,PC,3.2,23,desconocido
1402,Giana Sisters: Dream Runners,XboxOne,MICROSOFT,4.9,17,desconocido
482,MTV's Celebrity Deathmatch,PlayStation2,SONY,3.6,23,desconocido
63,Kabuki Warriors,Xbox,MICROSOFT,1.8,11,desconocido
4755,Land of the Dead: Road to Fiddler's Green,Xbox,MICROSOFT,6.5,12,desconocido
38,Tony Hawk's Pro Skater 5,PlayStation4,SONY,1.5,444,popular
468,Gene Rain,XboxOne,MICROSOFT,3.6,9,desconocido
48,Pool Party,Wii,NINTENDO,1.6,9,desconocido
509,Escape Dead Island,Xbox360,MICROSOFT,3.7,79,desconocido
2483,Zombeer,PC,PC,5.7,23,desconocido
110,Rekoil,PC,PC,2.1,45,desconocido
2235,The Simpsons Wrestling,PlayStation,SONY,5.5,29,desconocido
917,The Incredible Hulk,PC,PC,4.4,37,desconocido
8028,Shrek: Super Party,Xbox,MICROSOFT,7.2,13,desconocido
3895,Van Helsing,GameBoyAdvance,NINTENDO,6.3,6,desconocido
11411,Demonworld: Dark Armies,PC,PC,7.8,4,desconocido
248,Target: Terror,Wii,NINTENDO,3.0,17,desconocido
1325,Mobile Suit Gundam: Crossfire,PlayStation3,SONY,4.8,49,desconocido
1065,Superman Returns,DS,NINTENDO,4.6,14,desconocido
6765,Dragon Booster,DS,NINTENDO,7.0,10,desconocido
1446,Megamind: Ultimate Showdown,Xbox360,MICROSOFT,5.0,7,desconocido
513,Mortal Kombat Advance,GameBoyAdvance,NINTENDO,3.7,11,desconocido
269,AMY,PlayStation3,SONY,3.0,80,desconocido
180,Chicago Enforcer,Xbox,MICROSOFT,2.6,5,desconocido
265,AMY,PlayStation3,SONY,3.0,80,desconocido
1547,Call of Duty: Black Ops Declassified,PlayStationVita,SONY,5.0,505,popular
175,Kick-Ass,PlayStation3,SONY,2.6,19,desconocido
5674,Mistmare,PC,PC,6.8,12,desconocido
12863,Yu Yu Hakusho: Spirit Detective,GameBoyAdvance,NINTENDO,8.0,16,desconocido
445,Mike Tyson Heavyweight Boxing,PlayStation2,SONY,3.5,12,desconocido
327,X Rebirth,PC,PC,3.2,1307,popular
1127,Dawn of Fear,PlayStation4,SONY,4.6,30,desconocido
3751,Farming Simulator,Xbox360,MICROSOFT,6.2,30,desconocido
87,Fast & Furious Crossroads,PC,PC,2.0,50,desconocido
168,Transformers: Dark of the Moon - Stealth Force Edition,Wii,NINTENDO,2.5,6,desconocido
119,Bomberman: Act Zero,Xbox360,MICROSOFT,2.2,46,desconocido
518,Fantasy Hero: Unsigned Legacy,Switch,NINTENDO,3.7,7,desconocido
521,The Walking Dead: Survival Instinct,PlayStation3,SONY,3.7,202,conocido
2238,Girl Fight,Xbox360,MICROSOFT,5.5,19,desconocido
245,Takedown: Red Sabre,PC,PC,3.0,169,poco conocido
44,Rambo: The Video Game,PC,PC,1.6,316,popular
7999,Jekyll & Hyde (2001),PC,PC,7.2,5,desconocido
277,McFarlane's Evil Prophecy,PlayStation2,SONY,3.0,6,desconocido
756,David Beckham Soccer,GameBoyAdvance,NINTENDO,4.2,5,desconocido
410,The Shield: The Game,PC,PC,3.5,8,desconocido
131,Shadow Harvest: Phantom Ops,PC,PC,2.3,34,desconocido
1035,Agony,XboxOne,MICROSOFT,4.5,71,desconocido
13285,March of the Penguins,DS,NINTENDO,8.1,27,desconocido
3950,Past Cure,XboxOne,MICROSOFT,6.3,23,desconocido
601,The Expendables 2 Videogame,PlayStation3,SONY,3.9,51,desconocido
2563,You Are Empty,PC,PC,5.7,81,desconocido
4225,Destroy All Humans! Path of the Furon,Xbox360,MICROSOFT,6.4,52,desconocido
2596,Astro Boy: The Video Game,DS,NINTENDO,5.7,6,desconocido
733,Charlie and the Chocolate Factory,PlayStation2,SONY,4.1,29,desconocido
6071,The Golden Compass,Wii,NINTENDO,6.8,6,desconocido
10983,Street Jam Basketball,GameBoyAdvance,NINTENDO,7.7,6,desconocido
100,Bad Boys: Miami Takedown,GameCube,NINTENDO,2.0,9,desconocido
218,One Piece: Grand Cruise,PlayStation4,SONY,2.8,15,desconocido
2369,Enemy Front,Xbox360,MICROSOFT,5.6,85,desconocido
977,Drug Wars (2009),PC,PC,4.5,29,desconocido
6297,Valhalla Knights: Eldar Saga,Wii,NINTENDO,6.9,20,desconocido
659,NCIS,Xbox360,MICROSOFT,4.0,7,desconocido
942,Langrisser Re:Incarnation -TENSEI-,3DS,NINTENDO,4.4,19,desconocido
1322,Fantastic Four: Rise of the Silver Surfer,DS,NINTENDO,4.8,13,desconocido
2913,Bad Boys: Miami Takedown,Xbox,MICROSOFT,5.9,9,desconocido
684,George of the Jungle and the Search for the Secret,Wii,NINTENDO,4.0,6,desconocido
1331,Girl Fight,PlayStation3,SONY,4.9,14,desconocido
991,Dead Space Ignition,Xbox360,MICROSOFT,4.5,33,desconocido
65,Fast & Furious Crossroads,PlayStation4,SONY,1.8,212,conocido
943,Showtime Championship Boxing,Wii,NINTENDO,4.4,11,desconocido
939,Tsunami 2265,PC,PC,4.4,5,desconocido
1324,ShellShock 2: Blood Trails,PlayStation3,SONY,4.8,29,desconocido
2914,The History Channel: Battle for the Pacific,Xbox360,MICROSOFT,5.9,22,desconocido
1537,Star Raiders,Xbox360,MICROSOFT,5.0,6,desconocido
1996,7 Days to Die,XboxOne,MICROSOFT,5.4,103,poco conocido
1521,Fugitive Hunter: War on Terror,PlayStation2,SONY,5.0,22,desconocido
670,Fireburst,Xbox360,MICROSOFT,4.0,7,desconocido
4297,Super Seducer: How to Talk to Girls,PC,PC,6.4,42,desconocido
95,Terminator 3: Rise of the Machines,Xbox,MICROSOFT,2.0,10,desconocido
1320,Infernal: Hell's Vengeance,Xbox360,MICROSOFT,4.8,12,desconocido
236,Jeremy McGrath Supercross World,PlayStation2,SONY,2.9,15,desconocido
31,Legends of Pegasus,PC,PC,1.5,113,poco conocido
1086,Hollow,Switch,NINTENDO,4.6,56,desconocido
963,Pimp My Ride,PlayStation2,SONY,4.4,20,desconocido
15828,Torrente,PC,PC,8.7,66,desconocido
452,The Sum of All Fears,GameCube,NINTENDO,3.6,7,desconocido
499,Alekhine's Gun,PlayStation4,SONY,3.7,76,desconocido
4033,Fantastic Four: Rise of the Silver Surfer,PlayStation2,SONY,6.3,19,desconocido
1201,Disney Sports Skateboarding,GameCube,NINTENDO,4.7,6,desconocido
68,The History Channel: Battle for the Pacific,PlayStation3,SONY,1.8,16,desconocido
615,Eternity: The Last Unicorn,PlayStation4,SONY,3.9,19,desconocido
633,Arc of Alchemist,Switch,NINTENDO,4.0,5,desconocido
575,Risen 3: Titan Lords,PlayStation3,SONY,3.8,84,desconocido
105,Power Gig: Rise of the SixString,Xbox360,MICROSOFT,2.1,17,desconocido
109,Umbrella Corps,PC,PC,2.1,95,desconocido
3008,Teenage Mutant Ninja Turtles: Arcade Attack,DS,NINTENDO,5.9,7,desconocido
332,Sniper: Art of Victory,PC,PC,3.2,25,desconocido
6670,Double D Dodgeball,Xbox360,MICROSOFT,7.0,6,desconocido
285,Damnation,PlayStation3,SONY,3.1,49,desconocido
288,NBA Live 14,XboxOne,MICROSOFT,3.1,90,desconocido
150,Power Gig: Rise of the SixString,PlayStation3,SONY,2.4,5,desconocido
947,Fight Club,PlayStation2,SONY,4.4,25,desconocido
3253,Jeremy McGrath Supercross World,GameCube,NINTENDO,6.0,6,desconocido
1130,Coffin Dodgers,PlayStation4,SONY,4.6,22,desconocido
2548,Orion: Dino Horde,PC,PC,5.7,402,popular
1870,Damnation,Xbox360,MICROSOFT,5.3,55,desconocido
816,Kung Fu Rider,PlayStation3,SONY,4.3,23,desconocido
726,Tokyo Tattoo Girls,PlayStationVita,SONY,4.1,12,desconocido
4085,Darkstar: The Interactive Movie,PC,PC,6.3,15,desconocido
1672,Shaq Fu: A Legend Reborn,PlayStation4,SONY,5.2,29,desconocido
713,X-Men: Destiny,Wii,NINTENDO,4.1,14,desconocido
71,MTV's Celebrity Deathmatch,Xbox,MICROSOFT,1.9,12,desconocido
2103,The Shield: The Game,PlayStation2,SONY,5.4,10,desconocido
605,Dead Space Ignition,PlayStation3,SONY,3.9,27,desconocido
1323,Legend of the Dragon,Wii,NINTENDO,4.8,5,desconocido
1118,Agony,PlayStation4,SONY,4.6,150,poco conocido
1195,Past Cure,PlayStation4,SONY,4.7,52,desconocido
484,Quantum Theory,Xbox360,MICROSOFT,3.6,41,desconocido
3044,Shifters,PlayStation2,SONY,5.9,8,desconocido
919,Ready 2 Rumble Revolution,Wii,NINTENDO,4.4,5,desconocido
5059,Crystal Rift,PlayStation4,SONY,6.6,13,desconocido
302,Hour of Victory,Xbox360,MICROSOFT,3.1,46,desconocido
4193,Frogger 2,Xbox360,MICROSOFT,6.3,9,desconocido
1030,Wonder World Amusement Park,Wii,NINTENDO,4.5,4,desconocido
665,Tamagotchi Party On!,Wii,NINTENDO,4.0,6,desconocido
910,Rocky and Bullwinkle,Xbox360,MICROSOFT,4.4,9,desconocido
3089,Lucha Fury,Xbox360,MICROSOFT,5.9,7,desconocido
696,Fluster Cluck,PlayStation4,SONY,4.1,27,desconocido
1321,Combat Medic: Special Operations,PC,PC,4.8,5,desconocido
1319,Blackwater,Xbox360,MICROSOFT,4.8,15,desconocido
583,Speed Zone,Wii,NINTENDO,3.8,11,desconocido
14323,Left Alive,PlayStation4,SONY,8.3,1614,popular
868,TMNT,PSP,SONY,4.3,16,desconocido
6492,Duke Nukem: Land of the Babes,PlayStation,SONY,6.9,34,desconocido
3994,Aqua Teen Hunger Force Zombie Ninja Pro-Am,PlayStation2,SONY,6.3,11,desconocido
2177,Torino 2006 - The Official Video Game of the XX Olympic Winter Games,PC,PC,5.5,10,desconocido
1047,Napoleon Dynamite: The Game,PSP,SONY,4.6,7,desconocido
2778,Tenchu: Dark Secret,DS,NINTENDO,5.8,9,desconocido
107,Underworld Ascendant,PC,PC,2.1,47,desconocido
1367,Fight Club,Xbox,MICROSOFT,4.9,12,desconocido
1949,Escape from Bug Island,Wii,NINTENDO,5.3,26,desconocido
2507,3D Classics: Urban Champion,3DS,NINTENDO,5.7,22,desconocido
542,Traitors Gate 2,PC,PC,3.8,9,desconocido
893,Crash Boom Bang!,DS,NINTENDO,4.4,55,desconocido
1417,Blades of Time,Switch,NINTENDO,4.9,9,desconocido
703,Kengo: Legend of the 9,Xbox360,MICROSOFT,4.1,14,desconocido
1757,Looney Tunes: Acme Arsenal,PlayStation2,SONY,5.2,12,desconocido
799,Painkiller: Resurrection,PC,PC,4.2,83,desconocido
166,Steel Battalion: Heavy Armor,Xbox360,MICROSOFT,2.5,94,desconocido
2078,Far Cry Vengeance,Wii,NINTENDO,5.4,58,desconocido
1824,Touhou Kobuto V: Burst Battle,Switch,NINTENDO,5.3,18,desconocido
157,Randall,PlayStation4,SONY,2.5,10,desconocido
1744,Dying: Reborn,PlayStation4,SONY,5.2,33,desconocido
268,Putty Squad,PlayStation4,SONY,3.0,53,desconocido
420,Left Behind: Eternal Forces,PC,PC,3.5,21,desconocido
436,Raven Squad: Operation Hidden Dagger,Xbox360,MICROSOFT,3.5,38,desconocido
305,Battle: Los Angeles,PC,PC,3.1,43,desconocido
96,SoulCalibur: Lost Swords,PlayStation3,SONY,2.0,89,desconocido
648,Seven Kingdoms: Conquest,PC,PC,4.0,11,desconocido
1326,"Harry Potter and the Deathly Hallows, Part 1",Xbox360,MICROSOFT,4.8,48,desconocido
1552,Project Root,XboxOne,MICROSOFT,5.0,10,desconocido
707,DARK,Xbox360,MICROSOFT,4.1,55,desconocido
159,Umbrella Corps,PlayStation4,SONY,2.5,174,poco conocido
286,Vampire Rain,Xbox360,MICROSOFT,3.1,45,desconocido
11493,ECW Anarchy Rulz,Dreamcast,SEGA,7.8,4,desconocido
568,Pimp My Ride,Xbox360,MICROSOFT,3.8,29,desconocido
230,"Harry Potter and the Deathly Hallows, Part 1",PlayStation3,SONY,2.9,28,desconocido
361,Godzilla,PlayStation4,SONY,3.3,279,conocido
3074,Terminator 3: Rise of the Machines,PlayStation2,SONY,5.9,30,desconocido
365,Motocross Mania 3,Xbox,MICROSOFT,3.3,6,desconocido
61,Attack of the Movies 3D,Xbox360,MICROSOFT,1.7,10,desconocido
3476,Burnout Legends,DS,NINTENDO,6.1,64,desconocido
651,The Simpsons Skateboarding,PlayStation2,SONY,4.0,28,desconocido
1928,Legend of the Dragon,PSP,SONY,5.3,4,desconocido
3745,Bubble Bobble Revolution,DS,NINTENDO,6.2,6,desconocido
836,Heavy Fire: Red Shadow,PlayStation4,SONY,4.3,10,desconocido
2838,Dead or Alive Paradise,PSP,SONY,5.8,41,desconocido
3506,The Mummy: Tomb of the Dragon Emperor,PlayStation2,SONY,6.1,7,desconocido
474,G.I. Combat,PC,PC,3.6,7,desconocido
2493,Thor: God of Thunder,Xbox360,MICROSOFT,5.7,26,desconocido
12230,Pure Futbol,Xbox360,MICROSOFT,7.9,30,desconocido
4173,Godzilla Unleashed,PlayStation2,SONY,6.3,6,desconocido
356,Naruto Shippuden: Dragon Blade Chronicles,Wii,NINTENDO,3.3,14,desconocido
247,Driven,PlayStation2,SONY,3.0,6,desconocido
4169,Carnival Games: Mini-Golf,Wii,NINTENDO,6.3,8,desconocido
1760,Rock Revolution,Xbox360,MICROSOFT,5.2,18,desconocido
1862,Teenage Mutant Ninja Turtles: Out of the Shadows,Xbox360,MICROSOFT,5.3,172,poco conocido
181,The Walking Dead: Survival Instinct,PC,PC,2.6,312,popular
570,Star Wars Episode II: Attack of the Clones,GameBoyAdvance,NINTENDO,3.8,9,desconocido
75,Battleship,Xbox360,MICROSOFT,1.9,67,desconocido
1160,Hello Neighbor,PC,PC,4.7,221,conocido
2165,The Polar Express,PlayStation2,SONY,5.5,11,desconocido
3649,Wacky Races: Crash & Dash,Wii,NINTENDO,6.2,5,desconocido
543,Army Men: Green Rogue,PlayStation2,SONY,3.8,4,desconocido
1021,The Cursed Crusade,Xbox360,MICROSOFT,4.5,31,desconocido
612,SuperPower,PC,PC,3.9,11,desconocido
1074,Battle: Los Angeles,Xbox360,MICROSOFT,4.6,25,desconocido
4296,The Mummy: Tomb of the Dragon Emperor,Wii,NINTENDO,6.4,5,desconocido
994,Thor: God of Thunder,PlayStation3,SONY,4.5,22,desconocido
541,Deep Black: Reloaded,PC,PC,3.8,39,desconocido
921,Turning Point: Fall of Liberty,PC,PC,4.4,40,desconocido
4202,Onechanbara: Bikini Samurai Squad,Xbox360,MICROSOFT,6.3,57,desconocido
997,Alone in the Dark,Wii,NINTENDO,4.5,35,desconocido
326,Charlie and the Chocolate Factory,GameCube,NINTENDO,3.2,6,desconocido
2198,Drive Girls,PlayStationVita,SONY,5.5,12,desconocido
335,Universal Studios Theme Parks Adventure,GameCube,NINTENDO,3.2,13,desconocido
1070,Realms of Ancient War,PC,PC,4.6,50,desconocido
1638,25 to Life,PC,PC,5.1,50,desconocido
374,R.I.P.D. The Game,Xbox360,MICROSOFT,3.4,28,desconocido
406,Coffeetime Crosswords,Xbox360,MICROSOFT,3.4,7,desconocido
4747,Cartoon Network Racing,PlayStation2,SONY,6.5,11,desconocido
5736,Ultimate Beach Soccer,Xbox,MICROSOFT,6.8,5,desconocido
3284,"Monsters, Inc. Scream Arena",GameCube,NINTENDO,6.0,20,desconocido
112,Tony Hawk's Pro Skater 5,XboxOne,MICROSOFT,2.1,133,poco conocido
5209,Air Raid: This Is Not a Drill!,PC,PC,6.6,17,desconocido
117,Inkheart,DS,NINTENDO,2.2,5,desconocido
9561,Senran Kagura Reflexions,Switch,NINTENDO,7.5,42,desconocido
4492,Doctor Who: The Eternity Clock,PlayStation3,SONY,6.4,28,desconocido
1217,Pacific Rim,Xbox360,MICROSOFT,4.8,38,desconocido
1135,Troll and I,PlayStation4,SONY,4.7,36,desconocido
8177,Torino 2006 - the Official Video Game of the XX Olympic Winter Games,PlayStation2,SONY,7.3,14,desconocido
161,Brain Boost: Beta Wave,DS,NINTENDO,2.5,4,desconocido
3020,Star Wars: Flight of the Falcon,GameBoyAdvance,NINTENDO,5.9,13,desconocido
821,Hello Neighbor,Switch,NINTENDO,4.3,34,desconocido
182,RollerCoaster Tycoon 3D,3DS,NINTENDO,2.6,26,desconocido
213,The Deer God,Switch,NINTENDO,2.8,15,desconocido
1560,Family Guy: Back to the Multiverse,Xbox360,MICROSOFT,5.0,53,desconocido
2012,Ju-on: The Grudge,Wii,NINTENDO,5.4,36,desconocido
3424,Resident Evil: Survivor,PlayStation,SONY,6.1,87,desconocido
1179,Coffee Tycoon,PC,PC,4.7,7,desconocido
85,Charlie and the Chocolate Factory,Xbox,MICROSOFT,2.0,12,desconocido
1508,Montague's Mount,PC,PC,5.0,40,desconocido
307,Raven Squad: Operation Hidden Dagger,PC,PC,3.1,60,desconocido
1563,25 to Life,PlayStation2,SONY,5.0,52,desconocido
2966,Fantastic Four: Rise of the Silver Surfer,Wii,NINTENDO,5.9,15,desconocido
1702,Remothered: Broken Porcelain,PC,PC,5.2,21,desconocido
800,Anacapri: The Dream,PC,PC,4.2,13,desconocido
10053,The Chaos Engine (2013),PC,PC,7.6,26,desconocido
1814,Slain!,PC,PC,5.3,37,desconocido
390,Screwjumper!,Xbox360,MICROSOFT,3.4,9,desconocido
2780,Made Man: Confessions of the Family Blood,PC,PC,5.8,22,desconocido
9956,Zatch Bell! Mamodo Fury,PlayStation2,SONY,7.6,11,desconocido
1289,Prison Break: The Conspiracy,Xbox360,MICROSOFT,4.8,21,desconocido
1333,Inner Chains,PC,PC,4.9,16,desconocido
475,Soldier Elite,PC,PC,3.6,10,desconocido
6381,Painkiller: Hell & Damnation,PlayStation3,SONY,6.9,18,desconocido
1876,ShellShock 2: Blood Trails,PC,PC,5.3,49,desconocido
5697,Ducati World Racing Challenge,Dreamcast,SEGA,6.8,5,desconocido
830,Ace Banana,PlayStation4,SONY,4.3,20,desconocido
3623,Chronus Arc,3DS,NINTENDO,6.1,11,desconocido
7076,Looney Tunes: Acme Arsenal,Xbox360,MICROSOFT,7.1,14,desconocido
1733,Evil Dead: Hail to the King,PC,PC,5.2,13,desconocido
4390,The Warriors: Street Brawl,Xbox360,MICROSOFT,6.4,8,desconocido
8070,Eureka Seven Vol. 2: The New Vision,PlayStation2,SONY,7.2,6,desconocido
1291,The Golden Compass,PlayStation3,SONY,4.8,16,desconocido
1391,Delta Force: Xtreme 2,PC,PC,4.9,51,desconocido
1288,Psychotoxic,PC,PC,4.8,13,desconocido
5594,Scourge: Outbreak,Xbox360,MICROSOFT,6.7,54,desconocido
869,Emergency Mayhem,Wii,NINTENDO,4.3,4,desconocido
3294,Dragon Ball Z: Taiketsu,GameBoyAdvance,NINTENDO,6.0,27,desconocido
1013,Naval Assault: The Killing Tide,Xbox360,MICROSOFT,4.5,6,desconocido
2717,Blood Drive,Xbox360,MICROSOFT,5.8,13,desconocido
1158,The Polar Express,GameCube,NINTENDO,4.7,9,desconocido
368,DRIV3R,PC,PC,3.3,96,desconocido
2051,Tank Beat,DS,NINTENDO,5.4,8,desconocido
637,Adventure Time: Explore the Dungeon Because I DON'T KNOW!,PlayStation3,SONY,4.0,20,desconocido
1779,Adventure Time: Explore the Dungeon Because I DON'T KNOW!,WiiU,NINTENDO,5.2,24,desconocido
293,Escape Dead Island,PlayStation3,SONY,3.1,52,desconocido
4510,Family Guy: Back to the Multiverse,PlayStation3,SONY,6.4,33,desconocido
1136,Alekhine's Gun,PC,PC,4.7,51,desconocido
678,MotionSports,Xbox360,MICROSOFT,4.0,10,desconocido
4709,Real Steel,Xbox360,MICROSOFT,6.5,24,desconocido
11796,Space Raiders,GameCube,NINTENDO,7.8,4,desconocido
241,Farming Simulator,PlayStation3,SONY,2.9,9,desconocido
4659,Tamarin,PlayStation4,SONY,6.5,10,desconocido
