id,nombre,plataforma,marca,puntuacion usuarios,numero usuarios,popularidad
99,Family Party: 30 Great Games Obstacle Arcade,WiiU,NINTENDO,2.0,151,poco conocido
20,Ride to Hell: Retribution,PC,PC,1.3,581,popular
845,Yaris,Xbox360,MICROSOFT,4.3,129,poco conocido
303,Vroom in the Night Sky,Switch,NINTENDO,3.1,105,poco conocido
76,Leisure Suit Larry: Box Office Bust,PlayStation3,SONY,1.9,45,desconocido
40,Double Dragon II: Wander of the Dragons,Xbox360,MICROSOFT,1.5,58,desconocido
533,SPOGS Racing,Wii,NINTENDO,3.7,22,desconocido
14,Ride to Hell: Retribution,Xbox360,MICROSOFT,1.3,435,popular
17,Alone in the Dark: Illumination,PC,PC,1.3,134,poco conocido
125,Deal or No Deal,DS,NINTENDO,2.2,44,desconocido
56,Infestation: Survivor Stories (The War Z),PC,PC,1.7,3970,popular
102,Leisure Suit Larry: Box Office Bust,PC,PC,2.0,40,desconocido
227,Afro Samurai 2: Revenge of Kuma Volume One,PlayStation4,SONY,2.8,59,desconocido
55,Drake of the 99 Dragons,Xbox,MICROSOFT,1.7,41,desconocido
19,Fast & Furious: Showdown,Xbox360,MICROSOFT,1.3,132,poco conocido
66,Rambo: The Video Game,PlayStation3,SONY,1.8,102,poco conocido
914,Charlie's Angels,GameCube,NINTENDO,4.4,35,desconocido
273,Homie Rollerz,DS,NINTENDO,3.0,13,desconocido
205,Fighter Within,XboxOne,MICROSOFT,2.8,210,conocido
284,FlatOut 3: Chaos & Destruction,PC,PC,3.1,296,conocido
471,Legends of Wrestling II,GameBoyAdvance,NINTENDO,3.6,9,desconocido
67,NBA Unrivaled,PlayStation3,SONY,1.8,20,desconocido
276,Postal III,PC,PC,3.0,300,popular
375,Gravity Games Bike: Street Vert Dirt,PlayStation2,SONY,3.4,27,desconocido
115,Pulse Racer,Xbox,MICROSOFT,2.2,17,desconocido
153,Terrawars: New York Invasion,PC,PC,2.4,10,desconocido
394,Game Party Champions,WiiU,NINTENDO,3.4,24,desconocido
497,Cruis'n,Wii,NINTENDO,3.7,20,desconocido
358,Batman: Dark Tomorrow,Xbox,MICROSOFT,3.3,19,desconocido
148,Leisure Suit Larry: Box Office Bust,Xbox360,MICROSOFT,2.4,42,desconocido
556,AMY,Xbox360,MICROSOFT,3.8,89,desconocido
614,Game Party,Wii,NINTENDO,3.9,31,desconocido
957,Stalin vs. Martians,PC,PC,4.4,66,desconocido
