,puntuacion usuarios,marca
13490,8.7,SONY
15284,8.7,SONY
16014,8.7,SONY
16106,8.7,SONY
5212,8.7,SONY
16027,8.7,SONY
16028,8.7,SONY
3935,8.7,SONY
15002,8.7,SONY
5208,8.7,SONY
14392,8.7,SONY
14391,8.7,SONY
16039,8.7,SONY
16328,8.7,SONY
16060,8.7,SONY
9641,8.7,SONY
8909,8.7,SONY
8918,8.7,SONY
16371,8.7,SONY
11777,8.7,SONY
12655,8.7,SONY
13961,8.7,SONY
16333,8.7,SONY
824,8.7,SONY
10483,8.7,SONY
15746,8.7,SONY
13516,8.7,SONY
1731,8.7,SONY
9599,8.7,SONY
12648,8.7,SONY
13340,8.7,SONY
15246,8.7,SONY
13991,8.7,SONY
2870,8.7,SONY
14489,8.7,SONY
11786,8.7,SONY
15252,8.7,SONY
16236,8.7,SONY
16233,8.7,SONY
8831,8.7,SONY
15068,8.6,SONY
5144,8.6,SONY
8537,8.6,SONY
8527,8.6,SONY
15028,8.6,SONY
14986,8.6,SONY
15058,8.6,SONY
15067,8.6,SONY
11384,8.6,SONY
14957,8.6,SONY
5171,8.6,SONY
8536,8.6,SONY
1535,8.6,SONY
12559,8.6,SONY
14109,8.6,SONY
12578,8.6,SONY
9461,8.6,SONY
12580,8.6,SONY
12581,8.6,SONY
14055,8.6,SONY
9516,8.6,SONY
12612,8.6,SONY
14028,8.6,SONY
2139,8.6,SONY
9534,8.6,SONY
13985,8.6,SONY
9557,8.6,SONY
2167,8.6,SONY
13964,8.6,SONY
9615,8.6,SONY
9638,8.6,SONY
2443,8.6,SONY
11038,8.6,SONY
2921,8.6,SONY
4518,8.6,SONY
4514,8.6,SONY
4512,8.6,SONY
2923,8.6,SONY
2397,8.6,SONY
2944,8.6,SONY
13702,8.6,SONY
12565,8.6,SONY
14121,8.6,SONY
8585,8.6,SONY
12556,8.6,SONY
8593,8.6,SONY
6170,8.6,SONY
8704,8.6,SONY
5039,8.6,SONY
14544,8.6,SONY
14538,8.6,SONY
4986,8.6,SONY
8994,8.6,SONY
14395,8.6,SONY
9092,8.6,SONY
3837,8.6,SONY
11094,8.6,SONY
15142,8.6,SONY
9099,8.6,SONY
3842,8.6,SONY
14283,8.6,SONY
12493,8.6,SONY
14263,8.6,SONY
14245,8.6,SONY
14242,8.6,SONY
11061,8.6,SONY
13469,8.6,SONY
13470,8.6,SONY
9314,8.6,SONY
13487,8.6,SONY
14139,8.6,SONY
9344,8.6,SONY
15137,8.6,SONY
8037,8.6,SONY
13700,8.6,SONY
16466,8.6,SONY
3273,8.6,SONY
1229,8.6,SONY
11474,8.6,SONY
15716,8.6,SONY
7971,8.6,SONY
15719,8.6,SONY
11513,8.6,SONY
11542,8.6,SONY
11552,8.6,SONY
15484,8.6,SONY
7058,8.6,SONY
6065,8.6,SONY
16326,8.6,SONY
6049,8.6,SONY
16313,8.6,SONY
16304,8.6,SONY
2676,8.6,SONY
5786,8.6,SONY
7825,8.6,SONY
16282,8.6,SONY
16247,8.6,SONY
15808,8.6,SONY
13212,8.6,SONY
6559,8.6,SONY
6002,8.6,SONY
13318,8.6,SONY
11472,8.6,SONY
5796,8.6,SONY
11728,8.6,SONY
10827,8.6,SONY
