id,nombre,plataforma,marca,puntuacion usuarios
13508,Excitebike 64,Nintendo64,NINTENDO,8.1
14798,Shovel Knight,WiiU,NINTENDO,8.4
10553,Owlboy,PC,PC,7.6
14030,Kerbal Space Program,PC,PC,8.2
12916,Divinity: Original Sin Enhanced Edition,PlayStation4,SONY,8.0
10381,TimeSplitters 2,Xbox,MICROSOFT,7.6
12400,Dishonored 2,PlayStation4,SONY,7.9
13778,DUSK,PC,PC,8.2
5558,Call of Duty: Black Ops,PlayStation3,SONY,6.7
14802,The Secret of Monkey Island: Special Edition,Xbox360,MICROSOFT,8.4
14014,Pinball FX 2,Xbox360,MICROSOFT,8.2
9558,Fire Emblem Fates: Revelation,3DS,NINTENDO,7.5
