id,nombre,plataforma,marca,puntuacion usuarios
16500,Star Wars: Knights of the Old Republic,PC,PC,9.0
14102,World Soccer Winning Eleven 7 International,PlayStation2,SONY,8.3
14160,Starcraft II: Wings of Liberty,PC,PC,8.3
14197,INSIDE,XboxOne,MICROSOFT,8.3
16599,Castlevania: Symphony of the Night,PlayStation,SONY,9.2
9296,Flipnote Studio,DS,NINTENDO,7.5
15470,Virtua Fighter 4: Evolution,PlayStation2,SONY,8.6
15537,Resident Evil 2,XboxOne,MICROSOFT,8.6
16389,Super Mario 3D World,WiiU,NINTENDO,8.9
16555,Paper Mario,Nintendo64,NINTENDO,9.1
14130,Grand Theft Auto III,PC,PC,8.3
11419,Gears of War 2,Xbox360,MICROSOFT,7.8
13682,Metal Gear Solid V: The Phantom Pain,PlayStation4,SONY,8.2
8484,Street Fighter IV,Xbox360,MICROSOFT,7.3
16550,Half-Life: Alyx,PC,PC,9.1
16546,Okami,PlayStation2,SONY,9.1
15473,Super Smash Bros. Ultimate,Switch,NINTENDO,8.6
7383,NBA 2K1,Dreamcast,SEGA,7.1
15507,Wipeout XL,PlayStation,SONY,8.6
12593,Undertale,Switch,NINTENDO,8.0
16552,Hades,Switch,NINTENDO,9.1
14223,Viewtiful Joe,GameCube,NINTENDO,8.3
15218,Braid,Xbox360,MICROSOFT,8.5
16506,Gran Turismo 2,PlayStation,SONY,9.0
15460,Tom Clancy's Splinter Cell,Xbox,MICROSOFT,8.6
13566,The Legend of Zelda: Skyward Sword,Wii,NINTENDO,8.1
14234,World Soccer Winning Eleven 6 International,PlayStation2,SONY,8.3
8521,NBA 2K2,Dreamcast,SEGA,7.3
16337,Super Smash Bros. Brawl,Wii,NINTENDO,8.8
16404,Ori and the Will of the Wisps,Switch,NINTENDO,8.9
16339,Company of Heroes,PC,PC,8.8
16406,Grand Theft Auto: San Andreas,PC,PC,8.9
2524,Mass Effect 3,PlayStation3,SONY,5.7
16400,SoulCalibur II,GameCube,NINTENDO,8.9
8461,NFL 2K3,PlayStation2,SONY,7.3
16373,Skies of Arcadia,Dreamcast,SEGA,8.9
12422,Minecraft,PC,PC,7.9
2547,The Last of Us Part II,PlayStation4,SONY,5.7
2250,Red Dead Redemption 2,PC,PC,5.5
13776,Test Drive Le Mans,Dreamcast,SEGA,8.2
9133,World of Warcraft,PC,PC,7.4
10268,Pac-Man Championship Edition DX,Xbox360,MICROSOFT,7.6
13898,SSX,PlayStation2,SONY,8.2
15227,Street Fighter Alpha 3,PlayStation,SONY,8.5
15442,Tom Clancy's Splinter Cell Pandora Tomorrow,Xbox,MICROSOFT,8.6
16626,The Witcher 3: Wild Hunt,PC,PC,9.4
16313,Homeworld,PC,PC,8.8
16388,God of War II,PlayStation2,SONY,8.9
15250,Fallout 3,Xbox360,MICROSOFT,8.5
15188,Uncharted 4: A Thief's End,PlayStation4,SONY,8.5
15433,Divinity: Original Sin II - Definitive Edition,Switch,NINTENDO,8.6
15975,Grand Theft Auto: San Andreas,Xbox,MICROSOFT,8.7
15952,Persona 5,PlayStation4,SONY,8.7
13616,The Elder Scrolls IV: Oblivion,PlayStation3,SONY,8.1
