id,nombre,plataforma,marca,puntuacion usuarios
16640,Family Party: 30 Great Games Obstacle Arcade,WiiU,NINTENDO,2.0
16639,Ride to Hell: Retribution,PC,PC,1.3
16635,Double Dragon II: Wander of the Dragons,Xbox360,MICROSOFT,1.5
16636,Vroom in the Night Sky,Switch,NINTENDO,3.1
16638,Yaris,Xbox360,MICROSOFT,4.3
16637,Leisure Suit Larry: Box Office Bust,PlayStation3,SONY,1.9
16634,SPOGS Racing,Wii,NINTENDO,3.7
16633,Ride to Hell: Retribution,Xbox360,MICROSOFT,1.3
16632,Alone in the Dark: Illumination,PC,PC,1.3
16630,Leisure Suit Larry: Box Office Bust,PC,PC,2.0
16631,Deal or No Deal,DS,NINTENDO,2.2
16629,Infestation: Survivor Stories (The War Z),PC,PC,1.7
16628,Afro Samurai 2: Revenge of Kuma Volume One,PlayStation4,SONY,2.8
16626,Fast & Furious: Showdown,Xbox360,MICROSOFT,1.3
16627,Drake of the 99 Dragons,Xbox,MICROSOFT,1.7
16623,Homie Rollerz,DS,NINTENDO,3.0
16625,Rambo: The Video Game,PlayStation3,SONY,1.8
16622,FlatOut 3: Chaos & Destruction,PC,PC,3.1
16621,Fighter Within,XboxOne,MICROSOFT,2.8
16624,Charlie's Angels,GameCube,NINTENDO,4.4
16619,Legends of Wrestling II,GameBoyAdvance,NINTENDO,3.6
16618,Game Party Champions,WiiU,NINTENDO,3.4
16616,Gravity Games Bike: Street Vert Dirt,PlayStation2,SONY,3.4
16615,Terrawars: New York Invasion,PC,PC,2.4
16614,NBA Unrivaled,PlayStation3,SONY,1.8
16620,Pulse Racer,Xbox,MICROSOFT,2.2
16617,Postal III,PC,PC,3.0
16606,Game Party,Wii,NINTENDO,3.9
16612,NBA Unrivaled,Xbox360,MICROSOFT,4.3
16608,Dragon Ball Z: Ultimate Battle 22,PlayStation,SONY,5.2
16611,Stalin vs. Martians,PC,PC,4.4
16609,Call for Heroes: Pompolic Wars,PC,PC,3.2
16610,Batman: Dark Tomorrow,Xbox,MICROSOFT,3.3
16607,AMY,Xbox360,MICROSOFT,3.8
16613,Cruis'n,Wii,NINTENDO,3.7
16605,Leisure Suit Larry: Box Office Bust,Xbox360,MICROSOFT,2.4
16593,Stake: Fortune Fighters,Xbox,MICROSOFT,3.7
16602,Survivor (2001),PC,PC,2.6
16595,Charlie and the Chocolate Factory,PC,PC,2.6
16601,Aquaman: Battle for Atlantis,Xbox,MICROSOFT,2.7
16598,KISS Pinball,PlayStation,SONY,4.3
16592,Mucha Lucha! Mascaritas of the Lost Code,GameBoyAdvance,NINTENDO,3.9
16590,Druuna: Morbus Gravis,PC,PC,4.4
16597,R.I.P.D. The Game,PC,PC,1.5
